code,name
7050,WONG ENGINEERING CORPORATION BERHAD
7052,PADINI HOLDINGS BERHAD
7053,SEE HUP CONSOLIDATED BERHAD
7054,ASTRAL ASIA BERHAD
7055,PLB ENGINEERING BERHAD
7060,NEW HOONG FATT HOLDINGS BERHAD
7062,KHIND HOLDINGS BERHAD
7066,YONG TAI BERHAD
7070,VIZIONE HOLDINGS BERHAD
7071,OCR GROUP BERHAD
7073,SEACERA GROUP BERHAD
7076,CB INDUSTRIAL PRODUCT HOLDING BERHAD
7077,GSB GROUP BERHAD
7078,AHMAD ZAKI RESOURCES BERHAD
7079,TWL HOLDINGS BERHAD
7080,PERMAJU INDUSTRIES BERHAD
7081,PHARMANIAGA BERHAD
7082,SYF RESOURCES BERHAD
7083,ANALABS RESOURCES BERHAD
7084,QL RESOURCES BERHAD
7085,LTKM BERHAD
7086,ABLEGROUP BERHAD
7087,MAGNI-TECH INDUSTRIES BERHAD
7088,POH HUAT RESOURCES HOLDINGS BERHAD
7089,LII HEN INDUSTRIES BHD.
7090,APEX HEALTHCARE BERHAD
7091,UNIMECH GROUP BERHAD
7094,EUROSPAN HOLDINGS BERHAD
7095,P.I.E. INDUSTRIAL BERHAD
7096,GPA HOLDINGS BERHAD
7097,TA WIN HOLDINGS BERHAD
7099,ATTA GLOBAL GROUP BERHAD
7100,UCHI TECHNOLOGIES BERHAD
7103,SPRITZER BHD
7105,HCK CAPITAL GROUP BERHAD
7106,SUPERMAX CORPORATION BERHAD
7107,ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD
7108,PERDANA PETROLEUM BERHAD
7113,TOP GLOVE CORPORATION BHD
7114,D'NONCE TECHNOLOGY BHD
7115,SKB SHUTTERS CORPORATION BERHAD
7117,CJ CENTURY LOGISTICS HOLDINGS BERHAD
7120,AXTERIA GROUP BERHAD
7121,XL HOLDINGS BERHAD
7123,PRICEWORTH INTERNATIONAL BERHAD
7128,CAM RESOURCES BERHAD
7129,ASIA FILE CORPORATION BHD
7130,RENEUCO BERHAD
7131,ACME HOLDINGS BERHAD
7132,SMIS CORPORATION BERHAD
7133,UNITED U-LI CORPORATION BERHAD
7134,PWF CORPORATION BERHAD
7137,UMS HOLDINGS BERHAD
7139,NICHE CAPITAL EMAS HOLDINGS BERHAD
7140,OKA CORPORATION BHD
7145,PRINSIPTEK CORPORATION BERHAD
7146,AE MULTI HOLDINGS BERHAD
7148,DUOPHARMA BIOTECH BERHAD
7149,ENG KAH CORPORATION BERHAD
7152,JAYCORP BERHAD
7153,KOSSAN RUBBER INDUSTRIES BERHAD
7154,CAELY HOLDINGS BHD
7155,SKP RESOURCES BHD
7157,CYL CORPORATION BERHAD
7160,PENTAMASTER CORPORATION BERHAD
7161,KERJAYA PROSPEK GROUP BERHAD
7162,ASTINO BERHAD
7163,PJBUMI BERHAD
7164,KNM GROUP BERHAD
7165,DWL RESOURCES BERHAD
7167,JOHORE TIN BERHAD
7168,PRG HOLDINGS BERHAD
7169,DOMINANT ENTERPRISE BERHAD
7170,LFE CORPORATION BERHAD
7172,PMB TECHNOLOGY BERHAD
7173,TOYO VENTURES HOLDINGS BERHAD
7174,CAB CAKARAN CORPORATION BERHAD
7176,TPC PLUS BERHAD
7178,Y.S.P.SOUTHEAST ASIA HOLDING BERHAD
7179,LAGENDA PROPERTIES BERHAD
7180,SERN KOU RESOURCES BERHAD
7181,ARB BERHAD
7183,IRE-TEX CORPORATION BERHAD
7184,G3 GLOBAL BERHAD
7186,SWS CAPITAL BERHAD
7187,CHIN HIN GROUP PROPERTY BERHAD
7188,BTM RESOURCES BERHAD
7191,ADVENTA BERHAD
7192,GOODWAY INTEGRATED INDUSTRIES BERHAD
7195,COMINTEL CORPORATION BHD
7197,GE-SHEN CORPORATION BERHAD
7198,DPS RESOURCES BERHAD
7199,KEIN HING INTERNATIONAL BERHAD
7200,TEK SENG HOLDINGS BERHAD
7201,PROGRESSIVE IMPACT CORPORATION BERHAD
7202,CLASSIC SCENIC BERHAD
7203,WANG-ZHENG BERHAD
7204,D&O GREEN TECHNOLOGIES BERHAD
7207,SUCCESS TRANSFORMER CORPORATION BERHAD
7208,EURO HOLDINGS BERHAD
7209,CHEETAH HOLDINGS BERHAD
7210,FM GLOBAL LOGISTICS HOLDINGS BERHAD
7211,TAFI INDUSTRIES BERHAD
7212,DESTINI BERHAD
7214,A-RANK BERHAD
7215,NI HSIN RESOURCES BERHAD
7216,KAWAN FOOD BERHAD
7217,EONMETALL GROUP BERHAD
7218,TRANSOCEAN HOLDINGS BHD
7219,MINETECH RESOURCES BERHAD
7221,BSL CORPORATION BERHAD
7222,IMASPRO CORPORATION BERHAD
7223,JADI IMAGING HOLDINGS BERHAD
7225,P.A. RESOURCES BERHAD
7226,WATTA HOLDING BERHAD
7227,UMS-NEIKEN GROUP BERHAD
7228,T7 GLOBAL BERHAD
7229,FAVELLE FAVCO BERHAD
7230,TOMEI CONSOLIDATED BERHAD
7231,WELLCALL HOLDINGS BERHAD
7232,RESINTECH BERHAD
7233,DUFU TECHNOLOGY CORP. BERHAD
7234,MESB BERHAD
7235,SUPERLON HOLDINGS BERHAD
7237,POWER ROOT BERHAD
7239,SCANWOLF CORPORATION BERHAD
7240,INFRAHARTA HOLDINGS BERHAD
7241,NEXTGREEN GLOBAL BERHAD
7243,IMPIANA HOTELS BERHAD
7245,WZ SATU BERHAD
7246,SIGNATURE INTERNATIONAL BERHAD
7247,SCGM BHD
7248,SLP RESOURCES BERHAD
7249,EWEIN BERHAD
7250,UZMA BERHAD
7251,BARAKAH OFFSHORE PETROLEUM BERHAD
