code,name
7252,TEO SENG CAPITAL BERHAD
7253,HANDAL ENERGY BERHAD
7277,DIALOG GROUP BERHAD
7285,TOMYPAK HOLDINGS BERHAD
7293,YINSON HOLDINGS BERHAD
7315,AHB HOLDINGS BERHAD
7323,KEN HOLDINGS BERHAD
7374,TIEN WAH PRESS HOLDINGS BERHAD
7382,GOLDEN LAND BERHAD
7412,SHH RESOURCES HOLDINGS BERHAD
7439,TECK GUAN PERDANA BERHAD
7471,EDEN INC. BERHAD
7498,RALCO CORPORATION BERHAD
7501,HARN LEN CORPORATION BHD
7528,DKLS INDUSTRIES BHD
7544,QUALITY CONCRETE HOLDINGS BERHAD
7579,AWC BERHAD
7595,MGB BERHAD
7609,AJIYA BERHAD
7617,MAGNA PRIMA BERHAD
7668,BESHOM HOLDINGS BERHAD
7676,GUNUNG CAPITAL BERHAD
7692,WIDETECH (MALAYSIA) BERHAD
7722,ASIA BRANDS BERHAD
7757,UPA CORPORATION BHD
7765,RAPID SYNERGY BERHAD
7773,EP MANUFACTURING BHD
7803,RUBBEREX CORPORATION (M) BERHAD
7811,SAPURA INDUSTRIAL BERHAD
7854,TIMBERWELL BERHAD
7889,THRIVEN GLOBAL BERHAD
7935,MILUX CORPORATION BERHAD
7943,MPIRE GLOBAL BERHAD
7986,CN ASIA CORPORATION BHD
8044,COMPUTER FORMS (MALAYSIA) BERHAD
8052,CENTRAL GLOBAL BERHAD
8079,LEE SWEE KIAT GROUP BERHAD
8117,POLY GLASS FIBRE (M) BERHAD
8125,SCIENTEX PACKAGING (AYER KEROH) BERHAD
8133,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD
8141,MAJUPERAK HOLDINGS BERHAD
8176,ATA IMS BERHAD
8192,MERCURY INDUSTRIES BERHAD
8206,ECO WORLD DEVELOPMENT GROUP BERHAD
8273,PUBLIC PACKAGES HOLDINGS BHD
8303,LOTUS KFM BERHAD
8311,PESONA METRO HOLDINGS BERHAD
8338,DATAPREP HOLDINGS BHD
8346,PERAK CORPORATION BERHAD
8362,KYM HOLDINGS BERHAD
8397,TIONG NAM LOGISTICS HOLDINGS BERHAD
8419,PANSAR BERHAD
8435,CONCRETE ENGINEERING PRODUCTS BERHAD
8443,HIL INDUSTRIES BERHAD
8478,HWA TAI INDUSTRIES BERHAD
8486,LION FOREST INDUSTRIES BERHAD
8494,LBI CAPITAL BERHAD
8524,TALIWORKS CORPORATION BERHAD
8532,PERTAMA DIGITAL BERHAD
8567,SALCON BERHAD
8583,MAH SING GROUP BERHAD
8591,CREST BUILDER HOLDINGS BERHAD
8605,FEDERAL INTERNATIONAL HOLDINGS BERHAD
8613,ENRA GROUP BERHAD
8621,LPI CAPITAL BHD
8648,JASA KITA BERHAD
8664,S P SETIA BERHAD
8672,KAMDAR GROUP (M) BERHAD
8702,TEXCHEM RESOURCES BERHAD
8745,S & F CAPITAL BERHAD
8834,IREKA CORPORATION BERHAD
8869,PRESS METAL ALUMINIUM HOLDINGS BERHAD
8877,EKOVEST BERHAD
8885,AVILLION BERHAD
8893,MK LAND HOLDINGS BERHAD
8907,EG INDUSTRIES BERHAD
8923,JIANKUN INTERNATIONAL BERHAD
8966,PROLEXUS BERHAD
8982,CEPATWAWASAN GROUP BERHAD
9008,OMESTI BERHAD
9016,EKSONS CORPORATION BERHAD
9059,TSH RESOURCES BERHAD
9075,THETA EDGE BERHAD
9083,KUMPULAN JETSON BERHAD
9091,EMICO HOLDINGS BERHAD
9113,ICONIC WORLDWIDE BERHAD
9121,KPS CONSORTIUM BERHAD
9148,ADVANCED PACKAGING TECHNOLOGY (M) BHD
9172,FORMOSA PROSONIC INDUSTRIES BERHAD
9199,LYSAGHT GALVANIZED STEEL BERHAD
9237,SARAWAK CONSOLIDATED INDUSTRIES BERHAD
9261,GADANG HOLDINGS BHD
9288,BONIA CORPORATION BERHAD
9296,RCE CAPITAL BERHAD
9318,FITTERS DIVERSIFIED BERHAD
9326,LB ALUMINIUM BERHAD
9334,KESM INDUSTRIES BERHAD
9369,TEO GUAN LEE CORPORATION BERHAD
9377,FSBM HOLDINGS BERHAD
9385,LAY HONG BERHAD
9393,INDUSTRONICS BERHAD
9407,PARAGON UNION BERHAD
9423,CWG HOLDINGS BERHAD
9431,SENI JAYA CORPORATION BERHAD
9466,KKB ENGINEERING BERHAD
9539,MULTI-USAGE HOLDINGS BERHAD
9571,MITRAJAYA HOLDINGS BERHAD
9598,PINTARAS JAYA BHD
9601,HO WAH GENTING BERHAD
9628,LEBTECH BERHAD
9679,WCT HOLDINGS BERHAD
9687,IDEAL CAPITAL BERHAD
9695,PLS PLANTATIONS BERHAD
9717,SYCAL VENTURES BERHAD
9741,ROHAS TECNIC BERHAD
9776,SINMAH CAPITAL BERHAD
9792,SEG INTERNATIONAL BHD
9814,BERTAM ALLIANCE BERHAD
9822,SAM ENGINEERING & EQUIPMENT (M) BERHAD
9873,PRESTAR RESOURCES BERHAD
9881,LEADER STEEL HOLDINGS BERHAD
9938,BRIGHT PACKAGING INDUSTRY BERHAD
9946,REX INDUSTRY BERHAD
9954,RGT BERHAD
9962,GROMUTUAL BERHAD
9997,PENSONIC HOLDINGS BERHAD
