ticker
1155.KL
1295.KL
1023.KL
5347.KL
5183.KL
5225.KL
6947.KL
6888.KL
6012.KL
5819.KL
8869.KL
6033.KL
3816.KL
1066.KL
4707.KL
1961.KL
2445.KL
4065.KL
3182.KL
4715.KL
7277.KL
4197.KL
5285.KL
5681.KL
1015.KL
1082.KL
0166.KL
5296.KL
5246.KL
4677.KL
5099.KL
7148.KL
6742.KL
