Date,Open,High,Low,Close,Volume
2025-11-07 00:00:00+08:00,12.942976337225762,13.001808460145753,12.92336625298901,12.962587356567383,2571700
2025-11-10 00:00:00+08:00,12.962587428661745,13.08025074005127,12.962587428661745,13.08025074005127,2370500
2025-11-11 00:00:00+08:00,13.08025044706979,13.158692652905797,13.001808241233782,13.119471549987793,3688800
2025-11-12 00:00:00+08:00,13.17830305883245,13.17830305883245,13.099860851079658,13.139081954956055,4145000
2025-11-13 00:00:00+08:00,13.139081708070686,13.295967055733247,13.09986060493126,13.23713493347168,5017900
2025-11-14 00:00:00+08:00,13.217524503377101,13.237135523373192,13.119472208711352,13.158693313598633,3709200
2025-11-17 00:00:00+08:00,13.158692901834486,13.276356212814385,12.9821974678122,13.021418571472168,3811400
2025-11-18 00:00:00+08:00,13.001808755569947,13.080250964509036,12.903755526843641,12.92336654663086,9201600
2025-11-19 00:00:00+08:00,12.942976631313185,12.962587651100403,12.903755526843641,12.92336654663086,4921800
2025-11-20 00:00:00+08:00,12.942976927191093,13.001809052792765,12.884145736694336,12.884145736694336,7018600
2025-11-21 00:00:00+08:00,12.884145076439735,12.90375516056542,12.844923973083496,12.844923973083496,6558600
2025-11-24 00:00:00+08:00,12.844923926879561,12.884145030094718,12.786091804504395,12.786091804504395,10668400
2025-11-25 00:00:00+08:00,12.80570286972726,12.864534057209182,12.786091850496708,12.844923973083496,10388100
2025-11-26 00:00:00+08:00,12.864534378051758,12.962587606440241,12.766482084768164,12.864534378051758,9907800
2025-11-27 00:00:00+08:00,12.864534156832303,13.021418571472168,12.844924072554756,13.021418571472168,6967000
2025-11-28 00:00:00+08:00,13.001808755569947,13.001808755569947,12.84492433769177,12.92336654663086,13016400
2025-12-01 00:00:00+08:00,12.942976073074947,13.295966933181031,12.942976073074947,13.060639381408691,10817700
2025-12-02 00:00:00+08:00,13.021418221696704,13.080250343158768,12.49193286895752,12.49193286895752,21005700
2025-12-03 00:00:00+08:00,12.609596886001215,12.786092325209513,12.55076569633505,12.589986801147461,6746300
2025-12-04 00:00:00+08:00,12.60959700222942,12.668429127542767,12.256607055664062,12.256607055664062,12264400
2025-12-05 00:00:00+08:00,12.315438637231699,12.433101947558466,12.276217533789442,12.393880844116211,17308400
2025-12-08 00:00:00+08:00,12.452712059020996,12.511544181865762,12.276217560696436,12.452712059020996,9720300
2025-12-09 00:00:00+08:00,12.531154266077438,12.531154266077438,12.413490955492774,12.452712059020996,11657900
2025-12-10 00:00:00+08:00,12.47232278520673,12.511543887813158,12.433101682600304,12.49193286895752,6859000
2025-12-11 00:00:00+08:00,12.531153971563947,12.550764990419584,12.452711766351094,12.49193286895752,8136400
2025-12-12 00:00:00+08:00,12.53115478715081,12.76648235321045,12.53115478715081,12.76648235321045,7354900
2025-12-15 00:00:00+08:00,12.707649643784233,12.90375516056542,12.68803862455368,12.844923973083496,9239800
2025-12-16 00:00:00+08:00,12.844924631328192,12.962587947426622,12.766482420595906,12.884145736694336,8540400
2025-12-17 00:00:00+08:00,12.884145467719723,13.001808781361765,12.884145467719723,12.982197761535645,7195100
2025-12-18 00:00:00+08:00,12.982197805541853,13.080251034795042,12.942976700861555,13.041029930114746,5671200
2025-12-19 00:00:00+08:00,13.041029955437299,13.158693269706664,13.021418935506622,13.099861145019531,8839300
2025-12-22 00:00:00+08:00,13.080251171629547,13.29596771718027,13.080251171629547,13.27635669708252,5625200
2025-12-23 00:00:00+08:00,13.315577869985733,13.394020080566406,13.178303533917097,13.394020080566406,5912600
2025-12-24 00:00:00+08:00,13.354798950718273,13.433241161154703,13.315577845500059,13.335188865661621,3527700
2025-12-26 00:00:00+08:00,13.335188890183355,13.41363110076403,13.256746679602681,13.394020080566406,1486600
2025-12-29 00:00:00+08:00,13.39401989884334,13.609736442565918,13.374409814016685,13.609736442565918,8103500
2025-12-30 00:00:00+08:00,13.550903613094293,13.570514632005878,13.354798099502705,13.511682510375977,10994900
2025-12-31 00:00:00+08:00,13.511682481872135,13.570514603377926,13.3940191739654,13.452851295471191,6323400
2026-01-02 00:00:00+08:00,13.433240304939341,13.550903613094293,13.374409118414288,13.511682510375977,3997900
2026-01-05 00:00:00+08:00,13.472461700439453,13.511682804010118,13.354798389727454,13.472461700439453,5675600
2026-01-06 00:00:00+08:00,13.511683028125127,13.511683028125127,13.197914194355393,13.315577507019043,7838800
2026-01-07 00:00:00+08:00,13.315577577218956,13.43324089050293,13.237135368362974,13.43324089050293,3120100
2026-01-08 00:00:00+08:00,13.413630411878946,13.413630411878946,13.276356082860323,13.295967102050781,9925000
2026-01-09 00:00:00+08:00,13.295967102050781,13.354798289412432,13.276356082860323,13.295967102050781,3790500
2026-01-12 00:00:00+08:00,13.276356740281845,13.433241161154703,13.276356740281845,13.335188865661621,4566100
2026-01-13 00:00:00+08:00,13.354798434802419,13.5705149727216,13.335188350503334,13.531293869018555,7209600
2026-01-14 00:00:00+08:00,13.531294189223678,13.59012537861799,13.433240960093293,13.550904273986816,4774200
2026-01-15 00:00:00+08:00,13.550904025172457,13.707788440816527,13.49207283685837,13.648957252502441,6928800
2026-01-16 00:00:00+08:00,13.629346187704027,13.727399414708177,13.550903980142655,13.59012508392334,5031000
2026-01-19 00:00:00+08:00,13.59012508392334,13.59012508392334,13.59012508392334,13.59012508392334,0
2026-01-20 00:00:00+08:00,13.55090395331764,13.590125057020686,13.413630557909421,13.531293869018555,3757100
2026-01-21 00:00:00+08:00,13.531293869018555,13.609736076424644,13.433240642208506,13.531293869018555,5155200
2026-01-22 00:00:00+08:00,13.53129389580475,13.629346187704027,13.492072792024064,13.59012508392334,2841300
2026-01-23 00:00:00+08:00,13.590125057020686,13.62934616072373,13.511682849614596,13.531293869018555,4806500
2026-01-26 00:00:00+08:00,13.531293967017717,13.727399486953216,13.511682947471728,13.707788467407227,7749800
2026-01-27 00:00:00+08:00,13.727399894082714,13.845063209533691,13.707788873955097,13.845063209533691,6908700
2026-01-28 00:00:00+08:00,13.864673568394833,13.903894671674536,13.727399239363448,13.805841445922852,10536000
2026-01-29 00:00:00+08:00,13.786231951036177,13.845063140917643,13.609736511181966,13.727399826049805,5800800
2026-01-30 00:00:00+08:00,13.727399782269442,13.727399782269442,13.648957572607724,13.668567657470703,8510600
2026-02-03 00:00:00+08:00,13.845063209533691,13.962726524984667,13.688178788932388,13.845063209533691,7131500
2026-02-04 00:00:00+08:00,13.78623170032275,13.90389501305079,13.766620680648968,13.82545280456543,4967300
